"","time","S","I","R"
"1",0,999999,1,0
"2",1,999997.378215436,2.45960581436272,0.162178750152356
"3",2,999993.389295672,6.04963176019793,0.561072567986795
"4",3,999983.578271747,14.8795419934664,1.54218625975009
"5",4,999959.447887189,36.5968193496052,3.95529346108029
"6",5,999900.101893272,90.0077970653191,9.89030966290249
"7",6,999754.165801409,221.347756409586,24.4864421812196
"8",7,999395.411861443,544.211040103384,60.3770984539509
"9",8,998514.174064619,1337.23284282463,148.593092556906
"10",9,996353.640827486,3281.15680423365,365.202368280427
"11",10,991081.338207852,8022.89448514043,895.767307007297
"12",11,978360.741378795,19451.6756819448,2187.58293926076
"13",12,948492.020186076,46219.8866276606,5288.09318626339
"14",13,882611.790530924,104901.323974416,12486.8854946598
"15",14,755358.205027461,216585.579480032,28056.2154925073
"16",15,562081.907790281,380307.403065659,57610.6891440594
"17",16,353134.716970769,542774.782863533,104090.500165698
"18",17,194018.294081138,642001.571703333,163980.134215529
"19",18,100188.404652806,669741.383454685,230070.211892509
"20",19,51602.4469663039,651978.998418902,296418.554614794
"21",20,27387.5902690579,612846.030874195,359766.378856747
"22",21,15185.5451936059,566073.526064146,418740.928742248
"23",22,8830.96090850816,518220.130128316,472948.908963176
"24",23,5383.20133042918,472169.954232297,522446.844437273
"25",24,3431.25004265673,429086.158527473,567482.591429871
"26",25,2279.57994022569,389344.567955006,608375.852104768
"27",26,1573.20098396559,352963.124621983,645463.674394052
"28",27,1124.10875242569,319800.06662403,679075.824623544
"29",28,829.035809620448,289646.924043073,709524.040147306
"30",29,629.247588050775,262272.905865203,737097.846546747
"31",30,490.226635577454,237446.250874213,762063.52249021
"32",31,391.058412518724,214944.368090111,784664.57349737
"33",32,318.707360393101,194558.383934246,805122.908705361
"34",33,264.832901588891,176094.852588612,823640.314509799
"35",34,223.967701913745,159376.013613858,840400.018684228
"36",35,192.446718038397,144239.314064649,855568.239217313
"37",36,167.761755564844,130536.573009754,869295.665234681
"38",37,148.162985531578,118132.991588913,881718.845425555
"39",38,132.407790864024,106906.117646042,892961.474563094
"40",39,119.599085136483,96744.8240895457,903135.576825318
"41",40,109.079277032629,87548.3317505929,912342.588972375
"42",41,100.359346125017,79225.2918966035,920674.348757272
"43",42,93.0708175831214,71692.9343832723,928213.994799145
"44",43,86.9325573990587,64876.2827607589,935036.784681842
"45",44,81.727610445642,58707.4346416424,941210.837747912
"46",45,77.2867131494367,53124.9041379658,946797.809148885
"47",46,73.4764580941244,48073.022460659,951853.501081247
"48",47,70.1907010893131,43501.3925128788,956428.416786032
"49",48,67.3442371823981,39364.3932378622,960568.262524956
"50",49,64.8680935902169,35620.7295673118,964314.402339098
"51",50,62.7059996455074,32233.0241277241,967704.269872631
"52",51,60.8117101782468,29167.4469792995,970771.741310523
"53",52,59.1469495193773,26393.3799190084,973547.473131472
"54",53,57.6798357037346,23883.1123922906,976059.207772006
"55",54,56.3836486232379,21611.565943885,978332.050407492
"56",55,55.2358662337954,19556.0446616117,980388.719472155
"57",56,54.2174028166568,17696.0091707781,982249.773426406
"58",57,53.3120032586764,16012.8719867284,983933.816010013
"59",58,52.5057580685059,14489.8122293707,985457.682012561
"60",59,51.7867125601906,13111.6078794911,986836.605407949
"61",60,51.144549983861,11864.4839281017,988084.371521915
